,ID,phi,t,f,P,mw,w10m,v,r,rf
229,2002,121.15,0,1.94E-05,1003,0,2.13,26.60963624,90.21236955,2.55
230,2002,120.5,3,1.98E-05,1002,0,0.69,26.57504098,140.9265447,9.33
231,2002,119.95,6,2.00E-05,1002,0,1.19,20.39229786,186.3386392,16.08
232,2002,119.4,9,2.02E-05,1002,0,3.14,20.37811226,238.8048073,23.19
233,2002,118.85,12,2.03E-05,1001,0,4.08,20.36379822,294.5256435,38.7
234,2002,118.3,15,2.05E-05,1000,0,5.55,20.34935585,351.9126987,32.58
235,2002,117.95,18,2.08E-05,999,17.5,4.79,14.478948,395.0475454,18.27
236,2002,117.6,21,2.10E-05,998,35,3.95,14.4677759,438.122491,3.87
237,2002,117.15,24,2.14E-05,998,35,2.41,20.54787755,498.9086882,4.14
238,1223,125.6,-24,1.31E-05,997,35,2.86,0,685.9925665,1.95
239,1223,124.9,-21,1.36E-05,996,35,3.37,29.49352041,599.7500692,1.59
240,1223,124.4,-18,1.40E-05,997,35,5.06,21.32102154,537.6095088,3.18
241,1223,123.9,-15,1.44E-05,998,35,5.43,21.30487964,476.1166289,5.25
242,1223,123.1,-12,1.47E-05,997,37.5,5.17,30.50870585,400.7508481,3.96
243,1223,122.3,-9,1.50E-05,996,40,4.87,30.48353444,333.7779478,2.37
244,1223,121.6,-6,1.56E-05,997,40,4.54,30.34555812,261.5962494,8.73
245,1223,120.9,-3,1.61E-05,998,40,4.76,30.30853301,205.1682033,19.77
246,1223,120.25,0,1.69E-05,998,40,5.47,32.29604578,162.5748698,21.06
247,1223,119.6,3,1.76E-05,998,40,6.17,32.25286202,171.5149634,53.46
248,1223,118.6,6,1.78E-05,998,40,7.15,36.72554721,268.2745013,98.07
249,1223,117.6,9,1.81E-05,998,40,7.58,36.69421917,372.2899608,102.06
250,1223,117.2,12,1.81E-05,997,40,7.14,14.37629124,415.3167974,47.28
251,1223,116.8,15,1.81E-05,996,40,6.17,14.37629124,458.3628136,19.92
252,1223,116.2,18,1.82E-05,993,42.5,5.58,21.86982763,522.2666444,21.18
253,1223,115.6,21,1.83E-05,990,45,5.16,21.86020808,586.441954,21.24
254,1223,115.2,24,1.85E-05,985,50,4.25,15.38857894,629.191304,28.62
