YYMMDDHH,PRECIP,WS10M
10072718,4.38,1.63
10072800,2.83,1.58
10072806,2.8999999999999995,1.21
10072812,3.77,2.07
10072818,4.14,1.36
10072900,3.9699999999999998,1.42
10072906,3.6999999999999997,1.14
10072912,3.54,1.19
10072918,3.11,1.29
10073000,3.44,1.19
10073006,4.34,0.47
10073012,3.91,0.61
10073018,3.46,0.73
10073100,1.33,1.12
10073106,2.03,1.93
10073112,4.13,2.74
10073118,4.95,2.09
10080100,2.9700000000000006,1.74
10080106,2.42,1.56
10080112,2.06,1.17
10080118,1.8,0.73
10080200,1.5,0.53
10080206,1.1899999999999997,1.19
10080212,1.2400000000000002,2.81
10080218,0.9500000000000001,2.06
10080300,1.11,2.03
10080306,1.17,1.88
10080312,2.2399999999999998,1.67
10080318,2.7199999999999998,2.05
10080400,1.3399999999999999,1.64
10080406,2.12,2.14
10080412,1.5,2.66
10080418,2.09,2.49
10080500,1.07,3.53
10080506,1.1800000000000002,3.02
10080512,3.2199999999999998,2.77
10080518,4.11,2.34
10080600,2.24,1.81
10080606,1.21,1.83
10080612,0.64,3.53
10080618,1.0,1.85
10080700,0.7999999999999999,2.3
10080706,0.53,2.74
10080712,3.22,4.8
10080718,3.3200000000000003,3.95
10080800,1.09,3.23
10080806,1.3699999999999999,2.71
10080812,3.3699999999999997,5.33
10080818,5.22,3.05
10080900,1.24,2.8
10080906,1.01,2.51
10080912,0.41000000000000003,3.88
10080918,0.26,1.95
10081000,0.18000000000000002,2.04
10081006,0.2,1.86
10081012,0.11000000000000001,2.27
10081018,0.08,1.36
10081100,0.04,1.41
10081106,0.060000000000000005,0.7
10081112,2.31,0.66
10081118,2.45,0.41
10081200,1.54,0.7
10081206,1.84,0.94
10081212,3.92,1.75
10081218,2.7800000000000002,2.14
10081300,0.36,1.9
10081306,2.1799999999999997,1.77
10081312,1.16,2.17
10081318,0.8,1.49
10081400,0.61,1.73
10081406,0.74,1.65
10081412,0.31,1.91
10081418,0.25,1.67
10081500,0.19,2.06
10081506,0.08,1.98
10081512,0.87,1.52
10081518,1.0799999999999998,1.14
10081600,0.88,0.22
10081606,0.69,1.37
10081612,4.43,1.67
10081618,6.6899999999999995,1.37
10081700,6.0600000000000005,1.63
10081706,7.58,1.3
10081712,4.859999999999999,3.02
10081718,3.28,1.99
10081800,1.58,2.58
10081806,2.5599999999999996,2.65
10081812,7.31,4.1
10081818,9.309999999999999,2.74
10081900,4.74,2.37
10081906,1.7799999999999998,1.92
10081912,0.79,1.52
10081918,1.0,1
10082000,1.42,1.43
10082006,2.31,1.59
10082012,5.72,1.86
10082018,5.68,2.15
10082100,3.2800000000000002,1.95
10082106,2.83,1.86
10082112,3.1399999999999997,3.51
10082118,2.05,2.22
10082200,1.39,2.01
10082206,1.58,1.56
10082212,0.73,2.22
10082218,0.68,1.42
10082300,0.41,1.63
10082306,0.14,0.09
10082312,0.81,1.08
10082318,2.26,1.1
10082400,2.75,1.08
10082406,4.09,1.62
10082412,3.1500000000000004,1.55
10082418,4.66,1.24
10082500,4.2299999999999995,2.52
10082506,3.61,2.25
10082512,1.8900000000000001,3.84
10082518,4.5,3.43
10082600,4.6899999999999995,3.22
10082606,3.0000000000000004,2.07
10082612,3.59,2.98
10082618,3.12,2.44
10082700,2.95,2.43
10082706,2.8699999999999997,1.93
10082712,1.89,3.97
10082718,2.02,2.67
10082800,0.53,2.55
10082806,1.0,2.16
10082812,0.9,4.75
10082818,0.51,2.04
10082900,0.39,1.97
10082906,0.58,2.3
10082912,1.03,4.54
10082918,1.3399999999999999,2.38
10083000,0.78,1.8
10083006,0.53,1.91
10083012,0.69,4.29
10083018,0.8,2.43
10083100,0.6099999999999999,2.35
10083106,0.21,2.5
10083112,1.48,4.05
10083118,1.72,2.15
10090100,0.9800000000000001,1.98
10090106,0.79,1.91
10090112,2.5300000000000002,3.56
10090118,4.2700000000000005,1.89
10090200,3.0799999999999996,1.6
10090206,2.11,2.28
10090212,3.7699999999999996,2.96
10090218,6.5,1.88
10090300,5.2,2.12
10090306,6.779999999999999,2
10090312,4.41,3.48
10090318,3.44,2.29
10090400,1.86,2.04
10090406,2.25,1.34
10090412,0.32,2.25
10090418,0.2,1.45
10090500,0.060000000000000005,0.62
10090506,0.0,0.18
10090512,0.08,1.87
10090518,0.12000000000000001,1.33
10090600,0.12000000000000001,1.57
10090606,0.09999999999999999,1.21
10090612,0.04,2.19
10090618,0.0,1.37
10090700,0.03,1.06
10090706,0.060000000000000005,1.55
10090712,2.22,1
10090718,2.35,1
10090800,1.25,1.21
10090806,2.3000000000000003,1.48
10090812,1.2100000000000002,2.26
10090818,1.74,1.65
10090900,0.59,1.46
10090906,0.33000000000000007,1.26
10090912,0.11,1.59
10090918,0.14,1.27
10091000,0.060000000000000005,1.46
10091006,0.060000000000000005,0.87
10091012,1.7599999999999998,0.53
10091018,2.83,0.64
10091100,2.09,0.76
10091106,1.8,1.41
10091112,3.05,2.47
10091118,3.15,2.11
10091200,1.8900000000000001,1.89
10091206,2.4699999999999998,2.05
10091212,1.26,1.54
10091218,1.19,2.05
10091300,1.07,1.86
10091306,0.59,2.02
10091312,1.74,2.14
10091318,2.5100000000000002,2.13
10091400,1.4,1.5
10091406,0.8200000000000001,1.71
10091412,1.87,3.25
10091418,2.24,2.16
10091500,1.63,1.78
10091506,0.84,1.68
10091512,1.37,1.87
10091518,1.7299999999999998,1.47
10091600,0.6699999999999999,1.48
10091606,0.28,0.69
10091612,0.19000000000000003,0.81
10091618,0.21999999999999997,0.57
10091700,1.13,1.05
10091706,2.61,1.26
10091712,1.26,2.32
10091718,1.47,2.24
10091800,0.76,2.23
10091806,0.26,1.66
10091812,0.52,2.9
10091818,0.4,2.43
10091900,0.21000000000000002,2.49
10091906,0.16999999999999998,1.96
10091912,0.07,3.04
10091918,0.060000000000000005,1.66
10092000,0.01,1.89
